Nom du magasin;ETAT 50;ETAT 51;ETAT 70;ETAT 90
Magasin 1;DOWN;DOWN;DOWN;DOWN
Magasin 2;DOWN;DOWN;DOWN;DOWN
Magasin 3;DOWN;DOWN;DOWN;DOWN
Magasin 4;DOWN;DOWN;DOWN;DOWN
Magasin 5;DOWN;DOWN;DOWN;DOWN
Magasin 7;DOWN;DOWN;DOWN;DOWN
Magasin 9;DOWN;DOWN;DOWN;DOWN
Magasin 10;DOWN;DOWN;DOWN;DOWN
Magasin 12;DOWN;DOWN;DOWN;DOWN
Magasin 13;DOWN;DOWN;DOWN;DOWN
Magasin 16;DOWN;DOWN;DOWN;DOWN
Magasin 17;DOWN;DOWN;DOWN;DOWN
Magasin 18;DOWN;DOWN;DOWN;DOWN
Magasin 19;UP;DOWN;UP;DOWN
Magasin 20;DOWN;DOWN;DOWN;DOWN
Magasin 21;DOWN;DOWN;DOWN;DOWN
Magasin 24;DOWN;DOWN;DOWN;DOWN
Magasin 26;DOWN;DOWN;DOWN;DOWN
Magasin 27;DOWN;DOWN;DOWN;DOWN
Magasin 28;UP;DOWN;UP;DOWN
Magasin 29;DOWN;DOWN;DOWN;DOWN
Magasin 30;DOWN;DOWN;DOWN;DOWN
Magasin 31;DOWN;DOWN;DOWN;DOWN
Magasin 32;DOWN;DOWN;DOWN;DOWN
Magasin 33;DOWN;DOWN;DOWN;DOWN
Magasin 37;DOWN;DOWN;DOWN;DOWN
Magasin 38;DOWN;DOWN;DOWN;DOWN
Magasin 41;DOWN;DOWN;DOWN;DOWN
Magasin 42;DOWN;DOWN;DOWN;DOWN
Magasin 48;DOWN;DOWN;DOWN;DOWN
Magasin 49;DOWN;DOWN;DOWN;DOWN
Magasin 51;DOWN;DOWN;DOWN;DOWN
Magasin 55;DOWN;DOWN;DOWN;DOWN
Magasin 62;DOWN;DOWN;DOWN;DOWN
Magasin 63;DOWN;DOWN;DOWN;DOWN
Magasin 64;DOWN;DOWN;DOWN;DOWN
Magasin 66;DOWN;DOWN;DOWN;DOWN
Magasin 67;DOWN;DOWN;DOWN;DOWN
Magasin 72;DOWN;DOWN;DOWN;DOWN
Magasin 73;DOWN;DOWN;DOWN;DOWN
Magasin 74;DOWN;DOWN;DOWN;DOWN
Magasin 75;DOWN;DOWN;DOWN;DOWN
Magasin 80;DOWN;DOWN;DOWN;DOWN
Magasin 81;DOWN;DOWN;DOWN;DOWN
Magasin 106;DOWN;DOWN;DOWN;DOWN
Magasin 116;DOWN;DOWN;DOWN;DOWN
Magasin 120;DOWN;DOWN;DOWN;DOWN
Magasin 122;DOWN;DOWN;DOWN;DOWN
Magasin 127;DOWN;DOWN;DOWN;DOWN
Magasin 136;DOWN;DOWN;DOWN;DOWN
Magasin 139;DOWN;DOWN;DOWN;DOWN
Magasin 141;DOWN;DOWN;DOWN;DOWN
Magasin 142;DOWN;DOWN;DOWN;DOWN
Magasin 143;DOWN;DOWN;DOWN;DOWN
Magasin 145;DOWN;DOWN;DOWN;DOWN
Magasin 147;DOWN;DOWN;DOWN;DOWN
Magasin 149;DOWN;DOWN;DOWN;DOWN
Magasin 153;DOWN;DOWN;DOWN;DOWN
Magasin 155;DOWN;DOWN;DOWN;DOWN
Magasin 191;DOWN;DOWN;DOWN;DOWN
Magasin 193;DOWN;DOWN;DOWN;DOWN
Magasin 194;DOWN;DOWN;DOWN;DOWN
Magasin 195;DOWN;DOWN;DOWN;DOWN
Magasin 196;DOWN;DOWN;DOWN;DOWN
Magasin 200;DOWN;DOWN;DOWN;DOWN
Magasin 206;DOWN;DOWN;DOWN;DOWN
Magasin 215;DOWN;DOWN;DOWN;DOWN
Magasin 216;DOWN;DOWN;DOWN;DOWN
Magasin 217;DOWN;DOWN;DOWN;DOWN
Magasin 221;DOWN;DOWN;DOWN;DOWN
Magasin 224;DOWN;DOWN;DOWN;DOWN
Magasin 226;DOWN;DOWN;DOWN;DOWN
Magasin 227;DOWN;DOWN;DOWN;DOWN
Magasin 228;DOWN;DOWN;DOWN;DOWN
Magasin 230;DOWN;DOWN;DOWN;DOWN
Magasin 234;DOWN;DOWN;DOWN;DOWN
Magasin 235;DOWN;DOWN;DOWN;DOWN
Magasin 412;DOWN;DOWN;DOWN;DOWN
