Nom du magasin;IP;ETAT 254
Magasin 1;10.1.1.254;DOWN
Magasin 2;10.1.2.254;DOWN
Magasin 3;10.1.3.254;DOWN
Magasin 4;10.1.4.254;DOWN
Magasin 5;10.1.5.254;DOWN
Magasin 7;10.1.7.254;DOWN
Magasin 9;10.1.9.254;DOWN
Magasin 10;10.1.10.254;DOWN
Magasin 12;10.1.12.254;DOWN
Magasin 13;10.1.13.254;DOWN
Magasin 16;10.1.16.254;DOWN
Magasin 17;10.1.17.254;DOWN
Magasin 18;10.1.18.254;DOWN
Magasin 19;10.1.19.254;DOWN
Magasin 20;10.1.20.254;DOWN
Magasin 21;10.1.21.254;DOWN
Magasin 24;10.1.24.254;DOWN
Magasin 26;10.1.26.254;DOWN
Magasin 27;10.1.27.254;DOWN
Magasin 28;10.1.28.254;DOWN
Magasin 29;10.1.29.254;UP
Magasin 30;10.1.30.254;DOWN
Magasin 31;10.1.31.254;DOWN
Magasin 32;10.1.32.254;DOWN
Magasin 33;10.1.33.254;DOWN
Magasin 37;10.1.37.254;DOWN
Magasin 38;10.1.38.254;DOWN
Magasin 41;10.1.41.254;DOWN
Magasin 42;10.1.42.254;DOWN
Magasin 48;10.1.48.254;DOWN
Magasin 49;10.1.49.254;DOWN
Magasin 51;10.1.51.254;DOWN
Magasin 55;10.1.55.254;DOWN
Magasin 62;10.1.62.254;DOWN
Magasin 63;10.1.63.254;DOWN
Magasin 64;10.1.64.254;DOWN
Magasin 66;10.1.66.254;DOWN
Magasin 67;10.1.67.254;DOWN
Magasin 72;10.1.72.254;DOWN
Magasin 73;10.1.73.254;DOWN
Magasin 74;10.1.74.254;DOWN
Magasin 75;10.1.75.254;DOWN
Magasin 80;10.1.80.254;DOWN
Magasin 81;10.1.81.254;DOWN
Magasin 106;10.1.106.254;DOWN
Magasin 116;10.1.116.254;DOWN
Magasin 120;10.1.120.254;DOWN
Magasin 122;10.1.122.254;DOWN
Magasin 127;10.1.127.254;DOWN
Magasin 136;10.1.136.254;DOWN
Magasin 139;10.1.139.254;DOWN
Magasin 141;10.1.141.254;DOWN
Magasin 142;10.1.142.254;DOWN
Magasin 143;10.1.143.254;DOWN
Magasin 145;10.1.145.254;DOWN
Magasin 147;10.1.147.254;DOWN
Magasin 149;10.1.149.254;DOWN
Magasin 153;10.1.153.254;DOWN
Magasin 155;10.1.155.254;DOWN
Magasin 191;10.1.191.254;DOWN
Magasin 193;10.1.193.254;DOWN
Magasin 194;10.1.194.254;DOWN
Magasin 195;10.1.195.254;DOWN
Magasin 196;10.1.196.254;DOWN
Magasin 200;10.1.200.254;DOWN
Magasin 206;10.1.206.254;DOWN
Magasin 215;10.1.215.254;DOWN
Magasin 216;10.1.216.254;DOWN
Magasin 217;10.1.217.254;DOWN
Magasin 221;10.1.221.254;DOWN
Magasin 224;10.1.224.254;DOWN
Magasin 226;10.1.226.254;DOWN
Magasin 227;10.1.227.254;DOWN
Magasin 228;10.1.228.254;DOWN
Magasin 230;10.1.230.254;DOWN
Magasin 234;10.1.234.254;DOWN
Magasin 235;10.1.235.254;DOWN
Magasin 303;10.2.3.254;DOWN
Magasin 304;10.2.4.254;DOWN
Magasin 305;10.2.5.254;DOWN
Magasin 306;10.2.6.254;DOWN
Magasin 307;10.2.7.254;DOWN
Magasin 309;10.2.9.254;DOWN
Magasin 311;10.2.11.254;DOWN
Magasin 312;10.2.12.254;DOWN
Magasin 314;10.2.14.254;DOWN
Magasin 315;10.2.15.254;DOWN
Magasin 316;10.2.16.254;DOWN
Magasin 317;10.2.17.254;DOWN
Magasin 318;10.2.18.254;DOWN
Magasin 319;10.2.19.254;DOWN
Magasin 320;10.2.20.254;DOWN
Magasin 321;10.2.21.254;DOWN
Magasin 322;10.2.22.254;DOWN
Magasin 324;10.2.24.254;DOWN
Magasin 326;10.2.26.254;DOWN
Magasin 327;10.2.27.254;DOWN
Magasin 328;10.2.28.254;DOWN
Magasin 329;10.2.29.254;DOWN
Magasin 330;10.2.30.254;DOWN
Magasin 331;10.2.31.254;DOWN
Magasin 332;10.2.32.254;UP
Magasin 334;10.2.34.254;DOWN
Magasin 335;10.2.35.254;UP
Magasin 336;10.2.36.254;DOWN
Magasin 337;10.2.37.254;UP
Magasin 339;10.2.39.254;DOWN
Magasin 340;10.2.40.254;DOWN
Magasin 341;10.2.41.254;DOWN
Magasin 347;10.2.47.254;DOWN
Magasin 348;10.2.48.254;DOWN
Magasin 400;10.2.100.254;DOWN
Magasin 401;10.2.101.254;DOWN
Magasin 402;10.2.102.254;DOWN
Magasin 403;10.2.103.254;DOWN
Magasin 404;10.2.104.254;DOWN
Magasin 406;10.2.106.254;DOWN
Magasin 408;10.2.108.254;DOWN
Magasin 412;10.2.112.254;DOWN
Magasin 414;10.2.114.254;DOWN
Magasin 416;10.2.116.254;DOWN
Magasin 417;10.2.117.254;DOWN
Magasin 418;10.2.118.254;DOWN
Magasin 421;10.2.121.254;DOWN
Magasin 422;10.2.122.254;DOWN
Magasin 424;10.2.124.254;DOWN
Magasin 426;10.2.126.254;DOWN
Magasin 428;10.2.128.254;DOWN
Magasin 429;10.2.129.254;DOWN
Magasin 430;10.2.130.254;DOWN
Magasin 438;10.2.138.254;DOWN
Magasin 453;10.2.153.254;DOWN
