id,name_movie,language,years,genre,time,finish
1,16 vœux,Anglais,2010,Teen Movie / Romance / Fantaisie,1h30,✔
2,6 underground,Anglais,2019,Action et Thriller,2h08,✔
3,A tous les garçons que j’ai aimé,Anglais,2018,Romance et Drama,1h39,✔
4,A tous les garçons que j’ai aimé 2 : PS Je t’aime toujours,Anglais,2020,Romance et Drama,1h42,✔
5,A tous les garçons que j’ai aimé 3 : Pour toujours et à jamais,Anglais,2021,Romance et Drama,1h55,✔
6,A travers ma fenêtre,Espagnol,2022,"Romantique, Intimiste",1h53,✔
7,A travers ma fenêtre ,Espagnol,2022,Drame Romantique,1h56,✔
8,Agent presque secret,Anglais,2016,Action et Comédie,1h54,✔
9,Alerte rouge,Anglais,2022,Film pour enfant / Comédie ,1h40,✔
10,Amour entre adulte,Danois,2022,"Drame et Thriller / Sombre, secret et mensonge",1h45,✔
11,Antman,Anglais,2015,Action et Aventure,1h58,✔
12,Appelez-moi DJ Rebel ,Anglais,2012,Teen Movie,1h38,✔
13,Arrietty : Le petit monde des chapardeurs,Japonais,2010,Film pour enfant / Aventure / Fantaisie,1h34,✔
14,Avalon High : Un amour légendaire ,Anglais,2010,Teen Movie / Fantaisie,1h30,✔
15,Baby boss,Anglais,2017,Comédie,1h37,✔
16,Baby driver,Anglais,2017,Action / Crime,1h55,✔
17,Babysitting,Français,2014,Comédie,1h25,✔
18,Babysitting 2,Français,2015,Comédie,1h33,✔
19,Baywatch : Alerte à Malibu,Anglais,2017,Comédie et Action,2h10,✔
20,Blond,Anglais,2022,Drame,2h47,✔
21,Brain on fire,Anglais,2016,Drame et biopic,1h48,✔
22,Bumblebee,Anglais,2018,Action / SF,1h54,✔
23,Camp Rock,Anglais,2008,Teen Movie / Comédie musicale,1h37,✔
24,Camp Rock 2 : Le face à face,Anglais,2010,Teen Movie / Comédie musicale,1h44,✔
25,Casper,Anglais,1995,Comédie et Fantastique,1h40,✔
26,Charlie et la Chocolaterie,Anglais,2005,Cinéma de fantaisie,1h46,✔
27,Cloud 9 : L'Ultime figure,Anglais,2014,Teen Movie / Drame / Sport,1h25,✔
28,Coco,Anglais,2017,Film pour enfant / Aventure,1h45,✔
29,Crazy Rich Asians,Anglais,2018,Drame et Romance,2h10,✔
30,De l’autre côté du périphérique,Français,2012,Comédie et Action,1h36,✔
31,Deadpool,Anglais,2016,Action et Aventure,1h48,✔
32,Deep,Thaïlandais,2021,"Thriller, Drame / Thriller, Drame, SF",1h41,✔
33,Descendant,Anglais,2015,Teen Movie / Musical,1h52,✔
34,Descendant 2 ,Anglais,2017,Teen Movie / Musical,1h51,✔
35,Dirty papy,Anglais,2016,Comédie,1h42,✔
36,Dragons,Anglais,2010,Aventure,1h38,✔
37,El practicante / Irrémédiable,Espagnol,2020,Thriller / Sombre et psychologique,1h34,✔
38,Encanto : La Fantastique Famille Madriga,Anglais,2021,Film pour enfant / Comédie ,1h49,✔
39,Escape room,Anglais,2019,Thriller et SF,1h40,✔
40,Free guys,Anglais,2021,Action et SF,1h55,✔
41,Frenemies,Anglais,2012,Teen Movie / Drame / Comédie,1h27,✔
42,Frozen,Anglais,2013,Film pour enfant / Musical ,1h48,✔
43,Green snake,Chinois,2021,Fantaisie,2h12,✔
44,Homunculus,Japonais,2021,"Suspense, SF",1h56,✔
45,I am Legend,Anglais,2007,Thriller / Action / Drame / SF ,1h41,✔
46,I Am Mother,Anglais,2019,Thriller / SF ,1h53,✔
47,Intrusion,Anglais,2019,Thriller / Psychologique et suspense,1h42,✔
48,Joker,Anglais,2019,Thriller / Violence /  Psychologique ,2h01,✔
49,Jony English contre-attaque,Anglais,2018,Comédie et Aventure,1h28,✔
50,Kidnapping Stella,Allemand,2019,Suspense,1h27,✔
51,Kingsman : Le Cercle d’or,Anglais,2017,Action,2h21,✔
52,Kingsman service secret,Anglais,2014,Action et Aventure,2h10,✔
53,KungFu Panda,Anglais,2008,Comédie,1h32,✔
54,La belle et la bête,Anglais ,2014,"Fantastique, Romance",1h54,✔
55,La grande muraille,Anglais,2016,"Aventure, Historique, Fantastique",1h44,✔
56,La momie,Anglais,2017,Suspence,1h50,✔
57,La momie,Anglais,1999,Suspence / SF,2h04,✔
58,La nuit au musée,Anglais,2006,Film pour enfant / Comédie / Aventure,1h48,✔
59,La nuit au musée 2,Anglais,2009,Film pour enfant / Comédie / Aventure,1h45,✔
60,La plateforme,Espagnol,2019,Thriller / Psychologique et suspense,1h34,✔
61,La scuda Cattolica,Italien,2021,Drame,1h46,✔
62,Le château ambulant,Japonais,2004,Film pour enfant / Aventure / Fantaisie,1h59,✔
63,Le conte de la princesse Kaguya,Japonais,2013,Film pour enfant / Aventure / Fantaisie,2h17,✔
64,Le dernier voyage,Anglais,2020,Drame / SF,1h27,✔
65,Le diable tout le temps,Anglais,2020,Thriller et Drame / Psychologique,2h18,✔
66,Le Fabuleux Destin D’Amélie Poulain,Franco-allemand,2001,Drame et Romance/Comédie,2h20,✔
67,Le garçon idéal,Anglais,2014,Teen Movie / SF,1h29,✔
68,Le Geek charmant ,Anglais,2011,Teen Movie / Comédie ,1h34,✔
69,Le monde de Ralph,Anglais,2012,Film pour enfant / Comédie / Aventure,1h48,✔
70,Le pôle express,Anglais,2004,Fantaisie / Film pour enfant,1h40,✔
71,Le smoking,Anglais,2002,Action / Comédie,1h39,✔
72,Le vent se lève,Japonais,2013,Film pour enfant / Aventure / Fantaisie,2h06,✔
73,Le voyage de Chihiro,Japonais,2001,Film pour enfant / Aventure / Fantaisie,2h05,✔
74,Lemonade Mouth,Anglais,2011,Teen Movie / Musical / Drame ,1h46,✔
75,Les 3 idiots,Indien,2009,Comédie / Romance ,2h51,✔
76,Les cheetah girls,Anglais,2003,Teen Movie / Comédie musicale,1h40,✔
77,Les chroniques de Noël,Anglais,2018,Film pour enfant / Comédie / Aventure,1h43,✔
78,Les Goonies,Anglais,1985,Aventure / Comédie,1h54,✔
79,Les mignons,Anglais,2015,Aventure / Comédie,1h51,✔
80,Les mignons 2 :  Il était une fois Gru,Anglais,2022,Aventure / Comédie,1h28,✔
81,Les noces funèbres de Tim Burton,Anglais,2005,Fantaisie,1h14,✔
82,Les profs,Français,2013,Comédie,1h28,✔
83,Les profs 2,Français,2015,Comédie,1h32,✔
