Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
TPV-508-001,71,Windows 10 10.0 (Build 17763),"10.3.103.96, 169.254.21.157, 169.254.247.6, 169.254.114.211, 10.117.37.130",Système,0,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2021-12-07 10:53:48,2023-11-02 14:05:57
LAP-302-7,67,Windows 10 10.0 (Build 19045),"10.2.114.3, 169.254.101.157, 169.254.3.129, 169.254.134.42, 10.2.114.14",Système,2,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2022-01-28 21:01:57,2023-11-02 13:32:24
LAP-426-3,67,Windows 10 10.0 (Build 19045),"10.2.126.7, 169.254.183.170, 169.254.47.114, 169.254.248.11, 10.2.126.8",SERVICE LOCAL,2,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2023-01-12 17:56:41,2023-11-02 14:02:43
MacBook-Air-de-mac-dg,61,Mac OS 12.1.0,10.3.6.27,,0,"Apex One as a Service, Trend Vision One Agent",2022-06-13 06:02:30,2023-11-02 10:44:13
svi-19dc-adfs.louispion.fr,60,Microsoft Windows Server 2019 (64 bit) build 17763 10.0.17763,10.4.1.200,administrateur,4,"Trend Vision One Endpoint Sensor, Endpoint & Workload Security",2023-04-15 23:47:34,2023-10-31 22:58:46
LAP-P,57,Windows 10 10.0 (Build 19045),"169.254.121.246, 192.168.1.78, 169.254.223.29, 169.254.20.2, 169.254.155.242",SERVICE LOCAL,1,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2021-09-06 03:35:55,2023-11-02 11:28:23
LAP-MKTG-S-003,57,Windows 10 10.0 (Build 19045),"169.254.222.197, 169.254.191.108, 169.254.48.238, 10.3.6.39, 169.254.139.71",mcaby,3,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2022-01-07 11:06:31,2023-11-02 13:52:24
LAP-MKTG-012,55,Windows 10 10.0 (Build 19045),10.3.6.34,SERVICE RÉSEAU,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-12-22 08:55:09,2023-11-02 13:45:17
LAP-017-3,55,Windows 10 10.0 (Build 19045),10.1.17.4,SERVICE LOCAL,8,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-23 14:06:07,2023-10-30 16:17:30
LAP-428-001,54,Windows 11 10.0 (Build 22621),10.2.128.5,SERVICE LOCAL,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-07-29 14:24:47,2023-11-02 13:46:18
LP-033-1,54,Windows 7 6.1 (Build 7601),10.1.33.1,033STSEBASTIENSLOIRE,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-04 08:41:45,2023-11-02 13:51:48
LP-016-003,54,Windows 7 6.1 (Build 7601),10.1.16.4,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-10 03:26:28,2023-11-02 08:57:00
LP-DIR-SUP,53,Windows 10 10.0 (Build 19045),10.3.6.21,pdefoucault,1,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-09-27 21:17:56,2023-10-30 09:07:39
LAP-427-3,53,Windows 10 10.0 (Build 19045),10.3.103.99,SERVICE RÉSEAU,5,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-06-10 16:48:53,2023-11-02 11:36:08
LAP-IT-092,53,Windows 11 10.0 (Build 22621),10.3.6.20,mboutra,1,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-09-27 21:54:20,2023-11-02 14:00:26
LAP-CPTA-107,53,Windows 11 10.0 (Build 22621),10.3.103.33,SERVICE RÉSEAU,4,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-09-24 02:44:22,2023-11-02 13:45:32
LAP-416-001,52,Windows 10 10.0 (Build 19045),10.2.114.16,416,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-02-17 15:00:03,2023-11-02 08:44:40
LAP-414-001,52,Windows 10 10.0 (Build 19045),10.2.114.8,Système,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-01-11 11:36:26,2023-11-02 11:23:35
LAP-064-FORMA,52,Windows 10 10.0 (Build 19045),"169.254.20.40, 169.254.230.136, 169.254.8.105, 10.55.47.81, 169.254.40.213",SERVICE LOCAL,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-08-17 08:34:11,2023-11-02 13:52:50
LAP-038-001,52,Windows 10 10.0 (Build 19045),10.1.38.3,SERVICE RÉSEAU,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-08-12 13:59:59,2023-11-02 13:31:23
LAP-226-001,52,Windows 10 10.0 (Build 19045),10.1.226.5,Système,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-07-20 11:55:09,2023-11-02 13:31:13
LAP-073-001,52,Windows 10 10.0 (Build 19045),10.1.73.5,Système,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-03-13 12:15:10,2023-11-01 14:51:45
LAP-055-001,52,Windows 11 10.0 (Build 22621),10.1.55.3,Système,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-06-23 23:33:04,2023-11-02 12:11:08
LAP-412-001,52,Windows 10 10.0 (Build 19045),"169.254.116.167, 169.254.70.188, 169.254.6.71, 10.2.112.4, 169.254.9.108",412,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-10-26 10:21:16,2023-11-02 13:02:35
LP-401-7,52,Windows 10 10.0 (Build 19045),10.2.101.7,SERVICE LOCAL,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-12-15 16:00:14,2023-11-02 13:49:21
LAP-414-002,52,Windows 10 10.0 (Build 19045),10.2.114.9,SERVICE RÉSEAU,2,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-09-13 07:06:44,2023-11-02 12:49:39
LAP-TRAV-01,52,Windows 10 10.0 (Build 19045),10.3.103.91,jbastard,1,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-01-11 10:43:26,2023-10-31 15:55:16
