"Endpoint name","Type","IP address","MAC address","Group","Pinned to Group","Agent GUID","Operating system","Endpoint isolation","Create time","Last connected","Features enabled","Status","Error code"
"LAP-P","Desktop","100.126.10.163,169.254.121.246,192.168.1.78,169.254.223.29,169.254.20.2,169.254.155.242",",,10:65:30:56:B6:05,B6:6B:FC:D1:B7:B7,B4:6B:FC:D1:B7:B8,B4:6B:FC:D1:B7:B7","All Endpoints","No","4a709004-4512-4405-a831-daf82b7bdb84","Windows 10","Off","2021-08-23 15:26:29","2024-05-29 17:04:08","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAPTOP-HKPHDACA","Desktop","169.254.176.87,169.254.109.29,169.254.107.199,169.254.137.208,169.254.66.89,169.254.11.175,10.26.60.111,172.25.16.1,172.24.224.1,192.168.80.1,172.19.208.1","00:FF:46:54:77:EF,8C:8C:AA:54:2B:DE,8C:8C:AA:54:2B:DD,00:FF:32:FD:F1:22,70:9C:D1:B3:50:D4,72:9C:D1:B3:50:D3,70:9C:D1:B3:50:D3,00:15:5D:7C:2A:9E,00:15:5D:C5:EA:56,00:15:5D:27:02:72,00:15:5D:CC:9E:15","All Endpoints","No","b305e600-cfd0-404f-aaba-7829c36c4c0f","Windows 10","Off","2021-08-25 12:06:46","2024-06-05 14:47:16","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-302-7","Desktop","10.2.114.3,169.254.101.157,169.254.81.64,169.254.225.123,10.2.114.14","38:14:28:19:43:DF,38:14:28:19:43:DF,F0:9E:4A:C6:92:5C,F2:9E:4A:C6:92:5B,F0:9E:4A:C6:92:5B","All Endpoints","No","191604fd-9f44-4a77-bc21-6d5b5f7cd0c5","Windows 11","Off","2021-08-26 10:00:22","2024-06-05 14:48:27","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LP-DIR-SUP","Desktop","169.254.80.239,169.254.239.210,169.254.123.186,10.3.6.12,169.254.6.74","2C:8D:B1:0B:78:D7,2E:8D:B1:0B:78:D6,88:95:B3:5B:5A:45,2C:8D:B1:0B:78:D6,2C:8D:B1:0B:78:DA","All Endpoints","No","1df49922-cbc1-454a-b6b3-eb39f0fba20c","Windows 11","Off","2021-09-01 11:35:47","2024-06-05 14:45:57","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-Achat-010","Desktop","169.254.119.49,169.254.54.41,169.254.95.42,10.3.6.15,169.254.235.192","8C:04:BA:02:C6:F9,58:A0:23:85:FA:44,5A:A0:23:85:FA:43,58:A0:23:85:FA:43,58:A0:23:85:FA:47","All Endpoints","No","de789ff9-0f45-4875-baa3-e53e7924bd7b","Windows 10","Off","2021-09-22 14:03:51","2024-06-05 14:46:12","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-IT-092","Desktop","10.3.103.34,169.254.146.67,169.254.227.236,169.254.79.74,192.168.1.94,169.254.23.230","02:50:41:00:00:01,98:FA:9B:FA:E4:4B,94:E6:F7:80:75:06,96:E6:F7:80:75:05,94:E6:F7:80:75:05,6A:A4:03:AB:BF:01","All Endpoints","No","c96d526f-22b1-4c60-a190-acbbea862198","Windows 11","Off","2021-10-04 18:43:25","2024-06-05 14:46:09","XDR Endpoint Sensor,Vulnerability Assessment","",""
"SRV-BI-WEB","Server","10.4.1.225","00:50:56:BC:A8:37","All Endpoints","No","fdeeac86-9310-48f2-843e-a6a56d35d767","Windows Server 2008 R2","Off","2021-10-10 15:54:59","2024-06-05 14:48:49","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-234-AURES","Desktop","10.1.234.1","D8:C4:97:C6:6D:B0","All Endpoints","No","a155a3c4-88b9-416b-b4a7-ce9a15da9c79","Windows 10","Off","2021-10-20 15:24:05","2024-06-05 14:45:46","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-CPTA-108","Desktop","169.254.4.124,169.254.83.92,10.3.6.47,169.254.116.174","70:CD:0D:43:2B:B0,72:CD:0D:43:2B:AF,A2:41:02:EA:9C:E6,70:CD:0D:43:2B:B3","All Endpoints","No","4184b1fb-74eb-45f1-ac01-f12054062947","Windows 11","Off","2021-11-05 11:30:25","2024-06-05 14:46:37","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LP-016-003","Desktop","10.1.16.3","B8:CA:3A:A0:A2:C1","All Endpoints","No","6a244718-0dee-4619-b8ea-818e6e402fe3","Windows 7","Off","2021-11-08 13:52:38","2024-03-18 14:04:43","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-017-3","Desktop","10.1.17.3,169.254.243.38,169.254.205.12,169.254.234.106,10.1.17.4","C8:F7:50:51:C8:BC,C8:F7:50:51:C8:BC,A8:6D:AA:13:8C:07,AA:6D:AA:13:8C:06,A8:6D:AA:13:8C:06","All Endpoints","No","9e6f0a5e-c10d-4944-9b70-6ef1b524533b","Windows 11","Off","2021-11-19 17:55:07","2024-06-04 15:02:49","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LP-336-2","Desktop","169.254.208.22,169.254.140.59,10.2.36.3,169.254.71.178,10.2.36.2","00:91:9E:59:5F:A7,02:91:9E:59:5F:A6,00:91:9E:59:5F:A6,00:91:9E:59:5F:A6,30:D0:42:F5:24:C7","All Endpoints","No","397f0d5f-5436-4770-a2f8-5540bd24464d","Windows 11","Off","2021-11-26 10:55:30","2024-06-05 14:49:08","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-421-20","Desktop","169.254.29.155,169.254.147.20,169.254.237.148,10.2.121.6","38:14:28:70:24:67,6C:94:66:61:60:58,6E:94:66:61:60:57,6C:94:66:61:60:57","All Endpoints","No","f3e87365-ec7b-4e45-a90b-09739e131a37","Windows 11","Off","2021-11-26 16:16:37","2024-06-05 14:44:44","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-142-002","Desktop","10.1.142.3","B4:A9:FC:28:CD:83","All Endpoints","No","9aca728b-3b2f-4749-a195-ad93bc360aff","Windows 10","Off","2021-12-07 11:01:57","2024-06-05 11:04:33","XDR Endpoint Sensor,Vulnerability Assessment","",""
