Nom,Entité,Modèle,Numéro de série
AIO-340-001,Parc LP > LP MAG,OptiPlex 5490 AIO,96V84R3
AIO-401-001,Parc LP > LP MAG,OptiPlex 5270 AIO,C6LZPZ2
AIO-414-001,Parc LP > LP MAG,OptiPlex 5490 AIO,DXRY3S3
AIO-414-002,Parc LP > LP MAG,OptiPlex 5490 AIO,GXRY3S3
AIO-414-003,Parc LP > LP MAG,OptiPlex 5490 AIO,FXRY3S3
DESKTOP-HKL5THA,Parc LP,X83i3,CNFXNL361428
labo-cegidw10,Parc LP,OptiPlex 3280 AIO,FGMRF92
LAP-002-4,Parc LP > LP MAG,Latitude 5490,42GYWT2
LAP-004-002,Parc LP,Latitude 5440,2360FY3
LAP-005-001,Parc LP,Latitude 5430,HD9K5X3
LAP-007-001,Parc LP,Latitude 5440,2RKQDY3
LAP-007-1,Parc LP,Latitude 5580,BLBXNQ2
LAP-010-2,Parc LP,Latitude 5490,J1TYWT2
LAP-012-001,Parc LP,Latitude 5430,88JDSQ3
LAP-016-4,Parc LP > LP MAG,Latitude 5420,869W5J3
LAP-017-3,Parc LP > LP MAG,Latitude 5490,HYBZWT2
LAP-018-001,Parc LP,Latitude 5430,58V73T3
LAP-019-001,Parc LP,Latitude 5430,6ZCMGK3
LAP-020-3,Parc LP > LP MAG,Latitude 5580,D8201N2
LAP-024-001,Parc LP,Latitude 5440,FMRPDY3
LAP-028-4,Parc LP > LP MAG,Latitude 5420,H9HY5J3
LAP-029-3,Parc LP > LP MAG,Latitude 5480,HFWMHR2
LAP-030-4,Parc LP > LP MAG,Latitude 5410,DNHG893
LAP-031-2,Parc LP > LP MAG,Latitude 5400,BBDR1Z2
LAP-032-3,Parc LP > LP MAG,Latitude 5400,HRKR1Z2
LAP-037-001,Parc LP,Latitude 5430,7FZBLR3
LAP-038-001,Parc LP > LP MAG,Latitude 5430,DFS1LN3
LAP-041-1,Parc LP > LP MAG,Latitude 5420,7LRGGK3
LAP-042-1,Parc LP > LP MAG,Latitude 5420,9BMJGK3
LAP-048-4,Parc LP,Latitude 5420,1DM0ZD3
