originId,label,ipBlocking,appliedBundle,status,lastSyncStatus,lastSync,version,osVersion,osVersionName,type
512072148,LAP-DIR-RA2,Disabled,4126782,Encrypted,Encrypted,2024-06-05 09:00:03,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
532172145,LAP-SCH-002,Disabled,3901056,Off,VA,2024-06-04 14:11:35,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
537111725,LAP-MKT-S-002,Disabled,3901056,VA,VA,2024-06-05 09:03:41,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
540492295,LAP-SUP-004,Disabled,3901056,VA,VA,2024-06-05 08:58:57,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
542592634,LAP-GST-003,Disabled,3901056,Off,VA,2023-09-26 09:40:34,3.0.466,Microsoft Windows [version 10.0.19045.3448],Windows 10,roaming
547122920,LAP-MQP-004,Disabled,3901056,VA,VA,2024-06-05 09:13:42,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
563272600,LP-COMPTA-018,Disabled,3901056,VA,VA,2024-06-05 09:14:40,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
564404568,LAP-GST-004,Disabled,4126782,Encrypted,Encrypted,2024-06-05 09:18:05,3.0.466,Microsoft Windows [version 10.0.22631.2715],Windows 11,roaming
575348727,LAP-INFO-15,Disabled,4126782,Off,Encrypted,2023-04-19 10:53:11,3.0.343,Microsoft Windows [version 10.0.22621.1413],Windows 11,roaming
575356048,LAP-CPTA-101,Disabled,3901056,Off,VA,2023-02-14 16:00:21,3.0.343,Microsoft Windows [version 10.0.19045.2486],Windows 10,roaming
575356201,LAP-SUP-106,Disabled,3901056,VA,VA,2024-06-05 08:59:37,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575356445,LAP-SUP-100,Disabled,3901056,VA,VA,2024-06-05 09:01:44,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575480029,LAP-GST-002,Disabled,4126782,Encrypted,Encrypted,2024-06-05 08:56:49,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575487447,LAP-CPTA-107,Disabled,3901056,Off,VA,2024-03-20 13:55:19,3.0.466,Microsoft Windows [version 10.0.22631.3007],Windows 11,roaming
575518773,LAP-GST-001,Disabled,3901056,VA,VA,2024-06-05 09:20:41,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575543801,LAP-SAV-001,Disabled,3901056,VA,VA,2024-06-05 09:10:12,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575544500,LAP-CPTA-102,Disabled,3901056,VA,VA,2024-06-05 09:09:44,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575544993,LAP-SUP-101,Disabled,3901056,VA,VA,2024-06-05 08:54:28,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575561587,LAP-Achat-010,Disabled,3901056,VA,VA,2024-06-05 09:13:23,3.0.466,Microsoft Windows [version 10.0.19045.4291],Windows 10,roaming
575625272,LAP-DIR-DSI,Disabled,4126782,Off,Open,2023-04-27 07:41:57,3.0.343,Microsoft Windows [version 10.0.19045.2846],Windows 10,roaming
575632417,labo-cegidw10,Disabled,13509387,Encrypted,Encrypted,2024-06-05 09:22:37,3.0.466,Microsoft Windows [version 10.0.22631.3155],Windows 11,roaming
575690850,LAP-SUP-103,Disabled,3901056,VA,VA,2024-06-05 09:11:13,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
575756893,LAP-SUP-102,Disabled,3901056,VA,VA,2024-06-05 09:01:43,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
