Devince name,All_Device_Trend,Trend Vison Endpoint,GLPI,Umbrella,Old version Umbrella
10.2.122.80,Yes,No,No,No,
TPV-042-001,Yes,Yes,No,No,
LAP-228-2,Yes,No,Yes,No,
TPV-009-1,Yes,Yes,Yes,No,
10.1.116.80,Yes,No,No,No,
10.1.235.81,Yes,No,No,No,
10.2.7.80,Yes,No,No,No,
LAP-215-001,Yes,No,Yes,No,
TPV-017-001,Yes,Yes,Yes,No,
TPV-341-001,Yes,Yes,Yes,No,
TPV-200-001,Yes,Yes,Yes,No,
LAP-MKTG-012,Yes,Yes,Yes,Yes,Yes
srv-domaine2.louispion.fr,Yes,No,No,No,
TPV-005-002,Yes,Yes,Yes,No,
LAP-051-3,Yes,Yes,Yes,No,
LAP-191-4,Yes,No,No,Yes,Yes
TPV-024-002,Yes,Yes,No,No,
TPV-548-001,Yes,No,Yes,Yes,No
TPV-438-002,Yes,No,Yes,No,
TPV-414-002,Yes,Yes,Yes,No,
10.1.120.80,Yes,No,No,No,
TPV-549-002,No,No,Yes,Yes,No
TPV-196-3,Yes,Yes,Yes,No,
TPV-520-001,Yes,Yes,Yes,Yes,No
192.168.1.8,Yes,No,No,No,
LP-019-3,Yes,No,Yes,No,
LAP-012-001,Yes,Yes,Yes,Yes,Yes
10.4.1.197,Yes,No,No,No,
PX,No,Yes,No,No,
AIO-414-003,Yes,Yes,Yes,Yes,Yes
TPV-511-001,Yes,Yes,Yes,Yes,No
10.3.103.102,Yes,No,No,No,
LAP-DIR-DRH,Yes,No,Yes,No,
TPV-215-002,Yes,Yes,Yes,No,
TPV-538-002,Yes,Yes,Yes,No,
LAP-ACHAT-010,Yes,No,No,No,
192.168.0.94,Yes,No,No,No,
LAP-DOSI-001,Yes,Yes,Yes,Yes,No
LAP-SUPP-004,Yes,Yes,Yes,Yes,Yes
LAP-005-001,Yes,Yes,Yes,No,
TPV-516-001,Yes,Yes,Yes,Yes,No
LAP-234-2,Yes,No,Yes,No,
LAP-SUP-101,Yes,Yes,No,Yes,Yes
dns.msftncsi.com,Yes,No,No,No,
TPV-143-001,Yes,Yes,Yes,No,
TPV-020-001,Yes,Yes,Yes,No,
LAP-149-001,Yes,Yes,Yes,Yes,Yes
LAP-IT-001,Yes,Yes,Yes,Yes,Yes
LAP-206-01,Yes,Yes,Yes,No,
LAP-SUP-104,Yes,No,No,Yes,Yes
10.1.29.80,Yes,No,No,No,
LAP-400-002,Yes,Yes,Yes,Yes,Yes
TPV-501-001,Yes,Yes,Yes,Yes,No
TPV-319-001,Yes,Yes,Yes,No,
10.2.121.92,Yes,No,No,No,
LAP-406-001,Yes,No,No,No,
TPV-422-001,Yes,Yes,Yes,No,
192.168.1.229,Yes,No,No,No,
192.168.1.154,Yes,No,No,No,
LAP-RESP-SUPP,Yes,Yes,Yes,No,
LAP-GST-002,Yes,Yes,Yes,Yes,Yes
TPV-067-001,Yes,Yes,Yes,No,
LAP-SCH-009,No,No,No,Yes,Yes
TPV-532-001,Yes,Yes,Yes,Yes,No
TPV-525-001,Yes,Yes,Yes,Yes,No
TPV-XXX-00XI,Yes,No,No,No,
MacBook-Air-de-mac-dg,Yes,Yes,No,No,
192.168.1.249,Yes,No,No,No,
LP-227-3,Yes,No,Yes,No,
LAP-337-001,Yes,Yes,Yes,No,
LAP-RRH-001,Yes,Yes,Yes,Yes,No
TPV-153-001,Yes,Yes,No,No,
TPV-226-001,Yes,Yes,Yes,Yes,No
LP-414-3,Yes,No,Yes,No,
10.2.114.11,Yes,No,No,No,
TPV-155-001,Yes,Yes,Yes,No,
nan,No,Yes,No,No,
192.168.1.170,Yes,No,No,No,
10.128.128.128,Yes,No,No,No,
LAP-SUP-107,Yes,Yes,Yes,Yes,Yes
LP-042-2,No,No,Yes,No,
172.30.60.146,Yes,No,No,No,
LAP-CPTA-002,No,Yes,Yes,Yes,No
192.168.1.222,Yes,No,No,No,
TPV-543-001,Yes,No,Yes,Yes,No
LP-016-003,Yes,Yes,Yes,No,
TPV-051-001,Yes,No,No,No,
LAP-421-14,Yes,No,Yes,No,
LAP-136-4,Yes,No,Yes,No,
10.2.26.80,Yes,No,No,No,
LAP-DIR-ACHATS,No,No,No,Yes,Yes
svi-12r2-iis.louispion.fr,Yes,No,No,No,
LAP-010-2,Yes,No,Yes,Yes,Yes
LP-027-3,Yes,Yes,Yes,No,
TPV-038-001,Yes,Yes,Yes,No,
LAP-073-001,Yes,Yes,Yes,No,
TPV-424-002,Yes,Yes,Yes,No,
TAB-438-001,Yes,Yes,Yes,Yes,Yes
10.1.18.0,Yes,No,No,No,
TPV-536-001,Yes,No,Yes,Yes,No
10.2.34.80,Yes,No,No,No,
TPV-401-001,Yes,Yes,Yes,No,
TPV-019-001,No,No,Yes,No,
LP401-ATELIER-2,No,No,Yes,No,
LAP-349-001,Yes,No,Yes,Yes,Yes
LAP-MKTG-014,Yes,Yes,Yes,No,
192.168.1.228,Yes,No,No,No,
LAP-SVC-TRA,No,No,No,Yes,Yes
10.4.1.196,Yes,No,No,No,
srv-vca-dc.louispion.fr,Yes,No,No,No,
10.2.114.10,Yes,No,No,No,
LP-037-5,No,No,Yes,No,
TPV-502-001,Yes,Yes,Yes,Yes,Yes
LAP-401-001,Yes,No,Yes,No,
LAP-064-FORMA,Yes,Yes,Yes,Yes,Yes
LAP-ACH-016,Yes,Yes,Yes,No,
TPV-064-002,Yes,Yes,Yes,No,
LAPTOP-HKPHDACA,Yes,Yes,No,No,
LAP-430-001,Yes,Yes,Yes,Yes,Yes
DEV31D425,Yes,No,No,No,
LAP-SUP-002,Yes,Yes,Yes,Yes,No
LP-122-3,Yes,No,Yes,No,
MACBOOKPRO-01F4,Yes,No,No,No,
LP-350-01,Yes,No,Yes,Yes,Yes
SRV-DOMAINE1.louispion.fr,Yes,No,No,No,
LP-336-2,Yes,Yes,Yes,No,
AIO-414-002,Yes,Yes,Yes,Yes,Yes
192.168.1.65,Yes,No,No,No,
TPV-066-001,Yes,Yes,Yes,Yes,Yes
LP-401-7,Yes,Yes,Yes,No,
TPV-072-003,Yes,Yes,Yes,Yes,No
TPV-003-001,Yes,Yes,Yes,No,
TPV-508-001,Yes,Yes,Yes,Yes,No
LAP-MQP-004,Yes,Yes,Yes,Yes,Yes
TPV-401-002,Yes,Yes,No,No,
TPV-406-002,Yes,Yes,Yes,No,
192.168.1.206,Yes,No,No,No,
TPV-010-001,Yes,Yes,Yes,No,
TPV-332-001,Yes,Yes,Yes,No,
LAP-329-001,No,No,No,Yes,Yes
TPV-031-001,Yes,Yes,Yes,No,
10.1.18.130,Yes,No,No,No,
LAP-402-001,No,No,Yes,Yes,No
LAP-MKTG-003,Yes,No,Yes,Yes,Yes
192.168.1.120,Yes,No,No,No,
TPV-007-001,Yes,Yes,Yes,Yes,Yes
LABO-CEGIDW10,Yes,No,No,No,
TPV-438-001,Yes,Yes,Yes,No,
LAP-422-003,Yes,No,Yes,Yes,Yes
10.3.0.229,Yes,No,No,No,
192.168.1.35,Yes,No,No,No,
192.168.1.132,Yes,No,No,No,
LAP-141-001,No,No,Yes,Yes,No
TPV-062-002,Yes,Yes,Yes,No,
TPV-408-002,Yes,Yes,Yes,No,
TPV-414-001,Yes,Yes,Yes,No,
LP-004-2,No,No,Yes,No,
192.168.0.46,Yes,No,No,No,
svi-12r2-iis,No,No,Yes,No,
192.168.1.3,Yes,No,No,No,
srv-data.louispion.fr,Yes,No,No,No,
LAP-403-001,No,No,Yes,Yes,Yes
192.168.1.102,Yes,No,No,No,
192.168.1.114,Yes,No,No,No,
TPV-314-001,Yes,Yes,Yes,No,
LP-421-15,Yes,No,Yes,No,
LAP-ALEXANDRA-M,No,No,No,Yes,Yes
192.168.1.32,Yes,No,No,No,
svi-19DC-infepm,Yes,No,No,No,
LAP-412-001,Yes,Yes,Yes,Yes,Yes
10.1.67.80,Yes,No,No,No,
10.1.32.80,Yes,No,No,No,
10.2.129.80,Yes,No,No,No,
AIO-414-001,Yes,Yes,Yes,Yes,Yes
TPV-428-002,Yes,Yes,Yes,No,
LP-235-5,No,No,Yes,No,
10.3.0.224,Yes,No,No,No,
DESKTOP-LRE68HA,Yes,No,No,No,
TPV-527-001,Yes,Yes,Yes,Yes,No
AliceBob,Yes,No,No,No,
LAP-RH-102,Yes,Yes,Yes,Yes,Yes
svi-12r2-dwh.louispion.fr,Yes,No,No,No,
LP-337-3,Yes,No,Yes,No,
SRV-BCK-DC,Yes,No,No,No,
svi-12r2-etl-pr.louispion.fr,Yes,No,No,No,
TAB-428-001,No,No,Yes,Yes,Yes
TPV-510-001,Yes,Yes,Yes,Yes,No
LAP-GST-003,No,No,No,Yes,Yes
LAP-427-3,Yes,Yes,Yes,Yes,Yes
